Value Chain,Technology,Core Occupation,Unique Requirements for Hydrogen
Support,Inspection,Cathodic protectiontechnician,Hydrogen properties behaviourand potential hazards created. Understanding of cathodicprotection equipment andtechniques effective to protectagainst hydrogencorrosion/embrittlement. Safety when working with oraround hydrogen
Support,Inspection,Coating inspector,Hydrogen properties behaviourand potential hazards created. Understanding of coatingseffective for protectingequipment piping pipelinesetc. used for hydrogen againstcorrosion/embrittlement andtheir correct application. Safety when working with oraround hydrogen
Support,Inspection,Constructioninspector,Knowledge of hydrogen related regulationsstandards and codes. Understanding of acceptance compliance andmaterials testing required for hydrogeninfrastructure. Safety when working with or around hydrogen. Hydrogen properties behaviour and potentialhazards created. Keep up-to-date with changes to hydrogentechnology regulations standards and codes
Support,Inspection,Corrosion specialist,Hydrogen properties behaviour and potential hazards created. Materials coatings and inhibitors to use and correct application to protect from hydrogen corrosion. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Safety when working with or around hydrogen. Practices technologies equipment and systems to control hydrogen corrosion/embrittlement. Knowledge of hydrogen related regulations standards and codes
Support,Inspection,In-service pressure equipment inspector,Assess integrity of vessels tanks piping systems and fitting valves and seals to withstand hydrogen pressure and temperatures. Hydrogen properties behaviour and potential hazards created. Assess strength and integrity of welds to withstand hydrogen pressure and temperatures. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Safety when working with or around hydrogen. Knowledge of hydrogen related regulations standards and codes
Support,Inspection,Non-destructive (NDE) inspector and technician,Assess integrity of vessels tanks piping systems and fitting valves and seals to withstand hydrogen pressure and temperatures. Hydrogen properties behaviour and potential hazards created. Assess strength and integrity of welds to withstand hydrogen pressure and temperatures. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Safety when working with or around hydrogen. Knowledge of hydrogen related regulations standards and codes
Support,Inspection,Safety codes inspector,Advanced knowledge oflegislation relating to hydrogensafety codes and standards. Hydrogen properties behaviourand potential hazards created. Keep up-to-date with changesto hydrogen technologyregulations standards andcodes and assess impact tosafety requirements. Safety when working with oraround hydrogen
Support,Inspection,Welding inspector,Knowledge of hydrogen relatedregulations standards andcodes. Assess strength and integrity ofwelds to withstand hydrogenpressure and temperatures. Hydrogen properties behaviourand potential hazards created. Welding procedures andtechniques appropriate forhydrogen. Safety when working with oraround hydrogen. Keep up-to-date with changes tohydrogen technologyregulations standards andcodes
End Use,Heat with Hydrogen,,Knowledge of materials equipment and components to use to withstand hydrogen pressure and temperatures. Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Procedures to trace locate and repair hydrogen leaks. Safety when working with or around hydrogen. Knowledge of hydrogen properties behaviour and potential hazards created. Practices technologies equipment and systems to control hydrogen corrosion/embrittlement. Welding procedures and techniques appropriate for hydrogen. Knowledge of hydrogen related regulations standards and codes
End Use,Heat with Hydrogen,Gas technician,Knowledge of materials equipment and components to use to withstand hydrogen pressure and temperatures. Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Procedures to trace locate and repair hydrogen leaks. Safety when working with or around hydrogen. Knowledge of hydrogen properties behaviour and potential hazards created. Practices technologies equipment and systems to control hydrogen corrosion/embrittlement. Welding procedures and techniques appropriate for hydrogen. Knowledge of hydrogen related regulations standards and codes
End Use,Heat with Hydrogen,Customer service technician,Knowledge of materials equipment and components to use to withstand hydrogen pressure and temperatures. Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Procedures to trace locate and repair hydrogen leaks. Safety when working with or around hydrogen. Knowledge of hydrogen properties behaviour and potential hazards created. Practices technologies equipment and systems to control hydrogen corrosion/embrittlement. Welding procedures and techniques appropriate for hydrogen. Knowledge of hydrogen related regulations standards and codes
End Use,Heat with Hydrogen,Gas Servicer,Knowledge of materials equipment and components to use to withstand hydrogen pressure and temperatures. Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Procedures to trace locate and repair hydrogen leaks. Safety when working with or around hydrogen. Knowledge of hydrogen properties behaviour and potential hazards created. Practices technologies equipment and systems to control hydrogen corrosion/embrittlement. Welding procedures and techniques appropriate for hydrogen. Knowledge of hydrogen related regulations standards and codes
End Use,Heat with Hydrogen, Refrigeration and AirConditioningMechanic HVAC-R technician,Knowledge of hydrogen relatedregulations standards and codes. Comprehensive understanding ofaspects of installation and testingprocedures that are different due tothe nature of hydrogen. Welding procedures and techniquesappropriate for hydrogen. Keep up-to-date with changes tohydrogen technology regulationsstandards and codes. Knowledge of materials equipmentand components to use to withstandhydrogen pressure and temperatures. Procedures to trace locate and repairhydrogen leaks. Hydrogen properties behaviour andpotential hazards created. Safety when working with or aroundhydrogen
Manufacturing,Electrolyzer MFG, Production worker,Nothing that impacts thisoccupation’s ability to applyexpertise to manufacturing for thehydrogen industry
Manufacturing,Electrolyzer MFG, CNC operator CNC programmer Manufacturingtechnician,Nothing that impacts thisoccupation’s ability to applyexpertise to manufacturing for thehydrogen industry
Manufacturing,Electrolyzer MFG, Controls specialist,Depending on the hydrogen-relatedproduct manufactured may requirehydrogen specific skills/knowledgeas listed here
Manufacturing,Electrolyzer MFG, Automationtechnician,Nothing that impacts thisoccupation’s ability to applyexpertise to manufacturing for thehydrogen supply chains
Manufacturing,Electrolyzer MFG, Manufacturing designengineer Manufacturingprocess engineer Tooling engineer,Depending on the hydrogen-related product manufacturedmay require hydrogen specificskills/knowledge as listed here
Support,Inspection, Safety codes officer,Advanced knowledge oflegislation relating to hydrogensafety codes and standards. Hydrogen properties behaviourand potential hazards created. Keep up-to-date with changesto hydrogen technologyregulations standards andcodes and assess impact tosafety requirements. Safety when working with oraround hydrogen
