value_chain,technology,core_occupation,unique_requirements_for_hydrogen
Support,Inspection,In-service pressure equipment inspector,Assess integrity of vessels tanks piping systems and fitting valves and seals to withstand hydrogen pressure and temperatures. Hydrogen properties behavior and potential hazards created. Assess strength and integrity of welds to withstand hydrogen pressure and temperatures. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Safety when working with or around hydrogen. Knowledge of hydrogen related regulations standards and codes
Support,Inspection,Non-destructive (NDE) inspector and technician,Assess integrity of vessels tanks piping systems and fitting valves and seals to withstand hydrogen pressure and temperatures. Hydrogen properties behavior and potential hazards created. Assess strength and integrity of welds to withstand hydrogen pressure and temperatures. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Safety when working with or around hydrogen. Knowledge of hydrogen related regulations standards and codes
Support,Inspection,Safety codes inspector,Advanced knowledge of legislation relating to hydrogen safety codes and standards. Hydrogen properties behaviors and potential hazards created. Keep up-to-date with changes to hydrogen technology regulations standards and codes and assess impact to safety requirements. Safety when working with or around hydrogen
Support,Inspection,Welding inspector,Knowledge of hydrogen related regulations standards and codes. Assess strength and integrity of welds to withstand hydrogen pressure and temperatures. Hydrogen properties behaviors and potential hazards created. Welding procedures and techniques appropriate for hydrogen. Safety when working with or around hydrogen. Keep up-to-date with changes to hydrogen technology regulations standards and codes
End Use,Heat with Hydrogen,Gas technician,Knowledge of materials equipment and components to use to withstand hydrogen pressure and temperatures. Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Procedures to trace locate and repair hydrogen leaks. Safety when working with or around hydrogen. Knowledge of hydrogen properties behavior and potential hazards created. Practices technologies equipment and systems to control hydrogen corrosion/embrittlement. Welding procedures and techniques appropriate for hydrogen. Knowledge of hydrogen related regulations standards and codes
End Use,Heat with Hydrogen,Customer service technician,Knowledge of materials equipment and components to use to withstand hydrogen pressure and temperatures. Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Procedures to trace locate and repair hydrogen leaks. Safety when working with or around hydrogen. Knowledge of hydrogen properties behavior and potential hazards created. Practices technologies equipment and systems to control hydrogen corrosion/embrittlement. Welding procedures and techniques appropriate for hydrogen. Knowledge of hydrogen related regulations standards and codes
End Use,Heat with Hydrogen,Gas Servicer,Knowledge of materials equipment and components to use to withstand hydrogen pressure and temperatures. Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Procedures to trace locate and repair hydrogen leaks. Safety when working with or around hydrogen. Knowledge of hydrogen properties behavior and potential hazards created. Practices technologies equipment and systems to control hydrogen corrosion/embrittlement. Welding procedures and techniques appropriate for hydrogen. Knowledge of hydrogen related regulations standards and codes
End Use,Heat with Hydrogen, Refrigeration and AirConditioningMechanic HVAC-R technician,Knowledge of hydrogen related regulations standards and codes. Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen. Welding procedures and techniques appropriate for hydrogen. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Knowledge of materials equipment and components to use to withstand hydrogen pressure and temperatures. Procedures to trace locate and repair hydrogen leaks. Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen
Manufacturing,Electrolyzer MFG, Production worker,Nothing that impacts thisoccupation’s ability to apply expertise to manufacturing for the hydrogen industry
Manufacturing,Electrolyzer MFG, CNC operator CNC programmer Manufacturingtechnician,Nothing that impacts thisoccupation’s ability to apply expertise to manufacturing for the hydrogen industry
Manufacturing,Electrolyzer MFG, Controls specialist,Depending on the hydrogen-related product manufactured may require hydrogen specific skills/knowledge as listed here
Manufacturing,Electrolyzer MFG, Automationtechnician,Nothing that impacts thisoccupation’s ability to apply expertise to manufacturing for the hydrogen supply chains
Manufacturing,Electrolyzer MFG, Manufacturing design engineer Manufacturing Process engineer Tooling engineer,Depending on the hydrogen-related product manufactured may require hydrogen specific skills/knowledge as listed here
Support,Inspection, Safety codes officer,Advanced knowledge of legislation relating to hydrogen safety codes and standards. Hydrogen properties behaviors and potential hazards created. Keep up-to-date with changes to hydrogen technology regulations standards and codes and assess impact to safety requirements. Safety when working with or around hydrogen
